,text
163,"RT @bbbiixz: (Crime)อาชญากรรม
Arson(n)ก.ลอบวางเพลิง
Arsonist(n)ผู้ลอบวางเพลิง
Assassin(n)ผู้ลอบสังหาร
Assault(n,v)ก.ประทุษร้าย
Autopsy(n)ก.…"
164,i shot an arsonist and a disguiser as a jailor i'm happy
165,RT @BlacklistRoom: Have you gotten your copy of the Arsonist 🔥 finale yet? #TheBlacklist @NBCBlacklist @ComicsTitan  https://t.co/m9Jofyd1qk
166,Publiqué una nueva foto en Facebook https://t.co/6bR1spMbsQ
167,Publiqué una nueva foto en Facebook https://t.co/nC8VMxHx02
168,Publiqué una nueva foto en Facebook https://t.co/xcIDgB0DtW
169,Publiqué una nueva foto en Facebook https://t.co/BcWPoYvteo
170,Publiqué una nueva foto en Facebook https://t.co/n3C8LVb4KQ
171,Anime Girl GIF - Find &amp; Share on GIPHY https://t.co/dtd04UD0jX
172,얻는다면?
173,Lmao #blacklivesmatter #naacp  https://t.co/0uiBFLMgTN
174,https://t.co/breLIbXwxb #alqaeda #somalia #Africa
175,"RT @GunOwners: Statistically speaking, more deaths will result from knives, blunt instruments or hands and feet than these guns. https://t.…"
176,RT @CBCAlerts: UPDATE: Gunmen take unknown number of guests hostage in attack on hotel in Somalia capital.
177,"RT @coolwebsitesdir: Desmintiendo Todos Los Hacks De Clash Royale!!

https://t.co/ESdT4iK6Va

hack clash royale, mkbhd, cheats, attack, cla…"
178,"@d_4_destroy 
≪トリシューラの影霊衣≫でダイレクトアタック！

貫き穿て！ トリシューラの影霊衣ッ！

トリシューラの影霊衣
ATK:2700 &lt;Direct Attack!!!&gt;"
179,RT @danisnotonfire: HOLY WTF ANTHONY PADILLA JUST @ REPLIED ME *fangirl heart attack*
180,RT @SkyNews: Two men have been arrested in Belgium amid reports of a planned attack on a #Euro2016 fan zone https://t.co/bwsb9PEdB1
181,RT @SaidMDahir: #Somalia: #Mogadishu hotel under attack by #AlShabab https://t.co/tU1IIQIonu
182,"Somalia, al-Shabaab attack hotel https://t.co/8gR6JsKsWe"
183,RT @danisnotonfire: HOLY WTF ANTHONY PADILLA JUST @ REPLIED ME *fangirl heart attack*
184,RT @FreeAmerican100: That's until the global elite use their minions (ISIS) to stage a terror attack and blame it on #Exit supporters  http…
185,Somali gunmen take hostages after blast rocks Mogadishu hotel https://t.co/vPotbz2dGT
